dataset_id,source_month,geography,metric,value,source_value,value_status
9603,202512,機關別總計,總計,50112,50112,numeric
9603,202512,機關別總計,竊盜,6203,6203,numeric
9603,202512,機關別總計,贓物,10,10,numeric
9603,202512,機關別總計,賭博,98,98,numeric
9603,202512,機關別總計,傷害,2137,2137,numeric
9603,202512,機關別總計,詐欺背信,16119,16119,numeric
9603,202512,機關別總計,妨害自由,2717,2717,numeric
9603,202512,機關別總計,殺人,37,37,numeric
9603,202512,機關別總計,駕駛過失,2858,2858,numeric
9603,202512,機關別總計,妨害家庭及婚姻,47,47,numeric
9603,202512,機關別總計,妨害風化,88,88,numeric
9603,202512,機關別總計,妨害性自主罪,500,500,numeric
9603,202512,機關別總計,恐嚇取財,85,85,numeric
9603,202512,機關別總計,擄人勒贖,0,-,dash_zero
9603,202512,機關別總計,侵占,2030,2030,numeric
9603,202512,機關別總計,偽造文書印文,778,778,numeric
9603,202512,機關別總計,違反毒品危害防制條例,3863,3863,numeric
9603,202512,機關別總計,毀棄損壞,1264,1264,numeric
9603,202512,機關別總計,妨害公務,99,99,numeric
9603,202512,機關別總計,妨害電腦使用,1405,1405,numeric
9603,202512,機關別總計,強盜搶奪,21,21,numeric
9603,202512,機關別總計,內亂,0,-,dash_zero
9603,202512,機關別總計,重利,81,81,numeric
9603,202512,機關別總計,竊佔,105,105,numeric
9603,202512,機關別總計,偽造有價證券,13,13,numeric
9603,202512,機關別總計,妨害秩序,112,112,numeric
9603,202512,機關別總計,違反藥事法,9,9,numeric
9603,202512,機關別總計,違反國家總動員法,0,-,dash_zero
9603,202512,機關別總計,違反森林法,6,6,numeric
9603,202512,機關別總計,違反著作權法,89,89,numeric
9603,202512,機關別總計,違反專利法,0,-,dash_zero
9603,202512,機關別總計,違反商標法,34,34,numeric
9603,202512,機關別總計,公共危險,4433,4433,numeric
9603,202512,機關別總計,侵害墳墓屍體,0,-,dash_zero
9603,202512,機關別總計,妨害名譽,2282,2282,numeric
9603,202512,機關別總計,違反就業服務法,3,3,numeric
9603,202512,機關別總計,違反選罷法,0,-,dash_zero
9603,202512,機關別總計,妨害秘密,165,165,numeric
9603,202512,機關別總計,遺棄,28,28,numeric
9603,202512,機關別總計,違反貪污治罪條例,2,2,numeric
9603,202512,機關別總計,瀆職,19,19,numeric
9603,202512,機關別總計,懲治走私條例,0,-,dash_zero
9603,202512,機關別總計,妨害兵役,2,2,numeric
9603,202512,機關別總計,偽造貨幣,1,1,numeric
9603,202512,機關別總計,偽造度量衡,0,-,dash_zero
9603,202512,機關別總計,偽證,10,10,numeric
9603,202512,機關別總計,誣告,167,167,numeric
9603,202512,機關別總計,湮滅證據,5,5,numeric
9603,202512,機關別總計,藏匿頂替,11,11,numeric
9603,202512,機關別總計,脫逃,2,2,numeric
9603,202512,機關別總計,違反槍砲彈藥刀械管制條例,74,74,numeric
9603,202512,機關別總計,其他,2100,2100,numeric
9603,202512,新北市,總計,9341,9341,numeric
9603,202512,新北市,竊盜,1090,1090,numeric
9603,202512,新北市,贓物,1,1,numeric
9603,202512,新北市,賭博,23,23,numeric
9603,202512,新北市,傷害,370,370,numeric
9603,202512,新北市,詐欺背信,3099,3099,numeric
9603,202512,新北市,妨害自由,624,624,numeric
9603,202512,新北市,殺人,8,8,numeric
9603,202512,新北市,駕駛過失,476,476,numeric
9603,202512,新北市,妨害家庭及婚姻,7,7,numeric
9603,202512,新北市,妨害風化,23,23,numeric
9603,202512,新北市,妨害性自主罪,75,75,numeric
9603,202512,新北市,恐嚇取財,17,17,numeric
9603,202512,新北市,擄人勒贖,0,-,dash_zero
9603,202512,新北市,侵占,432,432,numeric
9603,202512,新北市,偽造文書印文,153,153,numeric
9603,202512,新北市,違反毒品危害防制條例,804,804,numeric
9603,202512,新北市,毀棄損壞,254,254,numeric
9603,202512,新北市,妨害公務,18,18,numeric
9603,202512,新北市,妨害電腦使用,351,351,numeric
9603,202512,新北市,強盜搶奪,3,3,numeric
9603,202512,新北市,內亂,0,-,dash_zero
9603,202512,新北市,重利,16,16,numeric
9603,202512,新北市,竊佔,20,20,numeric
9603,202512,新北市,偽造有價證券,0,-,dash_zero
9603,202512,新北市,妨害秩序,19,19,numeric
9603,202512,新北市,違反藥事法,0,-,dash_zero
9603,202512,新北市,違反國家總動員法,0,-,dash_zero
9603,202512,新北市,違反森林法,0,-,dash_zero
9603,202512,新北市,違反著作權法,23,23,numeric
9603,202512,新北市,違反專利法,0,-,dash_zero
9603,202512,新北市,違反商標法,3,3,numeric
9603,202512,新北市,公共危險,569,569,numeric
9603,202512,新北市,侵害墳墓屍體,0,-,dash_zero
9603,202512,新北市,妨害名譽,435,435,numeric
9603,202512,新北市,違反就業服務法,1,1,numeric
9603,202512,新北市,違反選罷法,0,-,dash_zero
9603,202512,新北市,妨害秘密,30,30,numeric
9603,202512,新北市,遺棄,8,8,numeric
9603,202512,新北市,違反貪污治罪條例,0,-,dash_zero
9603,202512,新北市,瀆職,5,5,numeric
9603,202512,新北市,懲治走私條例,0,-,dash_zero
9603,202512,新北市,妨害兵役,0,-,dash_zero
9603,202512,新北市,偽造貨幣,0,-,dash_zero
9603,202512,新北市,偽造度量衡,0,-,dash_zero
9603,202512,新北市,偽證,2,2,numeric
9603,202512,新北市,誣告,36,36,numeric
9603,202512,新北市,湮滅證據,1,1,numeric
9603,202512,新北市,藏匿頂替,0,-,dash_zero
9603,202512,新北市,脫逃,0,-,dash_zero
9603,202512,新北市,違反槍砲彈藥刀械管制條例,10,10,numeric
9603,202512,新北市,其他,335,335,numeric
9603,202512,臺北市,總計,5216,5216,numeric
9603,202512,臺北市,竊盜,572,572,numeric
9603,202512,臺北市,贓物,0,-,dash_zero
9603,202512,臺北市,賭博,11,11,numeric
9603,202512,臺北市,傷害,263,263,numeric
9603,202512,臺北市,詐欺背信,1558,1558,numeric
9603,202512,臺北市,妨害自由,292,292,numeric
9603,202512,臺北市,殺人,5,5,numeric
9603,202512,臺北市,駕駛過失,356,356,numeric
9603,202512,臺北市,妨害家庭及婚姻,6,6,numeric
9603,202512,臺北市,妨害風化,16,16,numeric
9603,202512,臺北市,妨害性自主罪,45,45,numeric
9603,202512,臺北市,恐嚇取財,8,8,numeric
9603,202512,臺北市,擄人勒贖,0,-,dash_zero
9603,202512,臺北市,侵占,341,341,numeric
9603,202512,臺北市,偽造文書印文,110,110,numeric
9603,202512,臺北市,違反毒品危害防制條例,314,314,numeric
9603,202512,臺北市,毀棄損壞,137,137,numeric
9603,202512,臺北市,妨害公務,17,17,numeric
9603,202512,臺北市,妨害電腦使用,99,99,numeric
9603,202512,臺北市,強盜搶奪,4,4,numeric
9603,202512,臺北市,內亂,0,-,dash_zero
9603,202512,臺北市,重利,8,8,numeric
9603,202512,臺北市,竊佔,6,6,numeric
9603,202512,臺北市,偽造有價證券,5,5,numeric
9603,202512,臺北市,妨害秩序,7,7,numeric
9603,202512,臺北市,違反藥事法,0,-,dash_zero
9603,202512,臺北市,違反國家總動員法,0,-,dash_zero
9603,202512,臺北市,違反森林法,0,-,dash_zero
9603,202512,臺北市,違反著作權法,14,14,numeric
9603,202512,臺北市,違反專利法,0,-,dash_zero
9603,202512,臺北市,違反商標法,7,7,numeric
9603,202512,臺北市,公共危險,389,389,numeric
9603,202512,臺北市,侵害墳墓屍體,0,-,dash_zero
9603,202512,臺北市,妨害名譽,330,330,numeric
9603,202512,臺北市,違反就業服務法,0,-,dash_zero
9603,202512,臺北市,違反選罷法,0,-,dash_zero
9603,202512,臺北市,妨害秘密,20,20,numeric
9603,202512,臺北市,遺棄,1,1,numeric
9603,202512,臺北市,違反貪污治罪條例,0,-,dash_zero
9603,202512,臺北市,瀆職,1,1,numeric
9603,202512,臺北市,懲治走私條例,0,-,dash_zero
9603,202512,臺北市,妨害兵役,1,1,numeric
9603,202512,臺北市,偽造貨幣,0,-,dash_zero
9603,202512,臺北市,偽造度量衡,0,-,dash_zero
9603,202512,臺北市,偽證,3,3,numeric
9603,202512,臺北市,誣告,31,31,numeric
9603,202512,臺北市,湮滅證據,1,1,numeric
9603,202512,臺北市,藏匿頂替,0,-,dash_zero
9603,202512,臺北市,脫逃,2,2,numeric
9603,202512,臺北市,違反槍砲彈藥刀械管制條例,7,7,numeric
9603,202512,臺北市,其他,229,229,numeric
9603,202512,桃園市,總計,5724,5724,numeric
9603,202512,桃園市,竊盜,587,587,numeric
9603,202512,桃園市,贓物,0,-,dash_zero
9603,202512,桃園市,賭博,13,13,numeric
9603,202512,桃園市,傷害,240,240,numeric
9603,202512,桃園市,詐欺背信,1802,1802,numeric
9603,202512,桃園市,妨害自由,308,308,numeric
9603,202512,桃園市,殺人,2,2,numeric
9603,202512,桃園市,駕駛過失,318,318,numeric
9603,202512,桃園市,妨害家庭及婚姻,5,5,numeric
9603,202512,桃園市,妨害風化,19,19,numeric
9603,202512,桃園市,妨害性自主罪,63,63,numeric
9603,202512,桃園市,恐嚇取財,5,5,numeric
9603,202512,桃園市,擄人勒贖,0,-,dash_zero
9603,202512,桃園市,侵占,249,249,numeric
9603,202512,桃園市,偽造文書印文,73,73,numeric
9603,202512,桃園市,違反毒品危害防制條例,591,591,numeric
9603,202512,桃園市,毀棄損壞,157,157,numeric
9603,202512,桃園市,妨害公務,14,14,numeric
9603,202512,桃園市,妨害電腦使用,182,182,numeric
9603,202512,桃園市,強盜搶奪,2,2,numeric
9603,202512,桃園市,內亂,0,-,dash_zero
9603,202512,桃園市,重利,6,6,numeric
9603,202512,桃園市,竊佔,11,11,numeric
9603,202512,桃園市,偽造有價證券,0,-,dash_zero
9603,202512,桃園市,妨害秩序,8,8,numeric
9603,202512,桃園市,違反藥事法,0,-,dash_zero
9603,202512,桃園市,違反國家總動員法,0,-,dash_zero
9603,202512,桃園市,違反森林法,0,-,dash_zero
9603,202512,桃園市,違反著作權法,11,11,numeric
9603,202512,桃園市,違反專利法,0,-,dash_zero
9603,202512,桃園市,違反商標法,2,2,numeric
9603,202512,桃園市,公共危險,555,555,numeric
9603,202512,桃園市,侵害墳墓屍體,0,-,dash_zero
9603,202512,桃園市,妨害名譽,265,265,numeric
9603,202512,桃園市,違反就業服務法,0,-,dash_zero
9603,202512,桃園市,違反選罷法,0,-,dash_zero
9603,202512,桃園市,妨害秘密,6,6,numeric
9603,202512,桃園市,遺棄,1,1,numeric
9603,202512,桃園市,違反貪污治罪條例,0,-,dash_zero
9603,202512,桃園市,瀆職,0,-,dash_zero
9603,202512,桃園市,懲治走私條例,0,-,dash_zero
9603,202512,桃園市,妨害兵役,0,-,dash_zero
9603,202512,桃園市,偽造貨幣,0,-,dash_zero
9603,202512,桃園市,偽造度量衡,0,-,dash_zero
9603,202512,桃園市,偽證,0,-,dash_zero
9603,202512,桃園市,誣告,17,17,numeric
9603,202512,桃園市,湮滅證據,0,-,dash_zero
9603,202512,桃園市,藏匿頂替,2,2,numeric
9603,202512,桃園市,脫逃,0,-,dash_zero
9603,202512,桃園市,違反槍砲彈藥刀械管制條例,7,7,numeric
9603,202512,桃園市,其他,203,203,numeric
9603,202512,臺中市,總計,5981,5981,numeric
9603,202512,臺中市,竊盜,774,774,numeric
9603,202512,臺中市,贓物,0,-,dash_zero
9603,202512,臺中市,賭博,14,14,numeric
9603,202512,臺中市,傷害,247,247,numeric
9603,202512,臺中市,詐欺背信,2216,2216,numeric
9603,202512,臺中市,妨害自由,319,319,numeric
9603,202512,臺中市,殺人,2,2,numeric
9603,202512,臺中市,駕駛過失,209,209,numeric
9603,202512,臺中市,妨害家庭及婚姻,5,5,numeric
9603,202512,臺中市,妨害風化,5,5,numeric
9603,202512,臺中市,妨害性自主罪,82,82,numeric
9603,202512,臺中市,恐嚇取財,11,11,numeric
9603,202512,臺中市,擄人勒贖,0,-,dash_zero
9603,202512,臺中市,侵占,236,236,numeric
9603,202512,臺中市,偽造文書印文,79,79,numeric
9603,202512,臺中市,違反毒品危害防制條例,315,315,numeric
9603,202512,臺中市,毀棄損壞,142,142,numeric
9603,202512,臺中市,妨害公務,10,10,numeric
9603,202512,臺中市,妨害電腦使用,201,201,numeric
9603,202512,臺中市,強盜搶奪,1,1,numeric
9603,202512,臺中市,內亂,0,-,dash_zero
9603,202512,臺中市,重利,14,14,numeric
9603,202512,臺中市,竊佔,5,5,numeric
9603,202512,臺中市,偽造有價證券,1,1,numeric
9603,202512,臺中市,妨害秩序,19,19,numeric
9603,202512,臺中市,違反藥事法,0,-,dash_zero
9603,202512,臺中市,違反國家總動員法,0,-,dash_zero
9603,202512,臺中市,違反森林法,0,-,dash_zero
9603,202512,臺中市,違反著作權法,11,11,numeric
9603,202512,臺中市,違反專利法,0,-,dash_zero
9603,202512,臺中市,違反商標法,4,4,numeric
9603,202512,臺中市,公共危險,451,451,numeric
9603,202512,臺中市,侵害墳墓屍體,0,-,dash_zero
9603,202512,臺中市,妨害名譽,286,286,numeric
