dataset_id,source_month,geography,metric,value,source_value,value_status
9603,202501,機關別總計,總計,45413,45413,numeric
9603,202501,機關別總計,竊盜,6118,6118,numeric
9603,202501,機關別總計,贓物,4,4,numeric
9603,202501,機關別總計,賭博,498,498,numeric
9603,202501,機關別總計,傷害,2156,2156,numeric
9603,202501,機關別總計,詐欺背信,15469,15469,numeric
9603,202501,機關別總計,妨害自由,2259,2259,numeric
9603,202501,機關別總計,殺人,12,12,numeric
9603,202501,機關別總計,駕駛過失,2859,2859,numeric
9603,202501,機關別總計,妨害家庭及婚姻,57,57,numeric
9603,202501,機關別總計,妨害風化,95,95,numeric
9603,202501,機關別總計,妨害性自主罪,401,401,numeric
9603,202501,機關別總計,恐嚇取財,76,76,numeric
9603,202501,機關別總計,擄人勒贖,0,-,dash_zero
9603,202501,機關別總計,侵占,1826,1826,numeric
9603,202501,機關別總計,偽造文書印文,704,704,numeric
9603,202501,機關別總計,違反毒品危害防制條例,2695,2695,numeric
9603,202501,機關別總計,毀棄損壞,1306,1306,numeric
9603,202501,機關別總計,妨害公務,82,82,numeric
9603,202501,機關別總計,妨害電腦使用,1370,1370,numeric
9603,202501,機關別總計,強盜搶奪,18,18,numeric
9603,202501,機關別總計,內亂,0,-,dash_zero
9603,202501,機關別總計,重利,108,108,numeric
9603,202501,機關別總計,竊佔,98,98,numeric
9603,202501,機關別總計,偽造有價證券,7,7,numeric
9603,202501,機關別總計,妨害秩序,58,58,numeric
9603,202501,機關別總計,違反藥事法,6,6,numeric
9603,202501,機關別總計,違反國家總動員法,0,-,dash_zero
9603,202501,機關別總計,違反森林法,12,12,numeric
9603,202501,機關別總計,違反著作權法,84,84,numeric
9603,202501,機關別總計,違反專利法,0,-,dash_zero
9603,202501,機關別總計,違反商標法,40,40,numeric
9603,202501,機關別總計,公共危險,3254,3254,numeric
9603,202501,機關別總計,侵害墳墓屍體,0,-,dash_zero
9603,202501,機關別總計,妨害名譽,1866,1866,numeric
9603,202501,機關別總計,違反就業服務法,0,-,dash_zero
9603,202501,機關別總計,違反選罷法,0,-,dash_zero
9603,202501,機關別總計,妨害秘密,113,113,numeric
9603,202501,機關別總計,遺棄,20,20,numeric
9603,202501,機關別總計,違反貪污治罪條例,6,6,numeric
9603,202501,機關別總計,瀆職,18,18,numeric
9603,202501,機關別總計,懲治走私條例,0,-,dash_zero
9603,202501,機關別總計,妨害兵役,0,-,dash_zero
9603,202501,機關別總計,偽造貨幣,7,7,numeric
9603,202501,機關別總計,偽造度量衡,0,-,dash_zero
9603,202501,機關別總計,偽證,4,4,numeric
9603,202501,機關別總計,誣告,111,111,numeric
9603,202501,機關別總計,湮滅證據,1,1,numeric
9603,202501,機關別總計,藏匿頂替,9,9,numeric
9603,202501,機關別總計,脫逃,3,3,numeric
9603,202501,機關別總計,違反槍砲彈藥刀械管制條例,82,82,numeric
9603,202501,機關別總計,其他,1501,1501,numeric
9603,202501,新北市,總計,8637,8637,numeric
9603,202501,新北市,竊盜,1063,1063,numeric
9603,202501,新北市,贓物,0,-,dash_zero
9603,202501,新北市,賭博,61,61,numeric
9603,202501,新北市,傷害,451,451,numeric
9603,202501,新北市,詐欺背信,3090,3090,numeric
9603,202501,新北市,妨害自由,517,517,numeric
9603,202501,新北市,殺人,1,1,numeric
9603,202501,新北市,駕駛過失,491,491,numeric
9603,202501,新北市,妨害家庭及婚姻,15,15,numeric
9603,202501,新北市,妨害風化,17,17,numeric
9603,202501,新北市,妨害性自主罪,65,65,numeric
9603,202501,新北市,恐嚇取財,13,13,numeric
9603,202501,新北市,擄人勒贖,0,-,dash_zero
9603,202501,新北市,侵占,380,380,numeric
9603,202501,新北市,偽造文書印文,147,147,numeric
9603,202501,新北市,違反毒品危害防制條例,548,548,numeric
9603,202501,新北市,毀棄損壞,277,277,numeric
9603,202501,新北市,妨害公務,22,22,numeric
9603,202501,新北市,妨害電腦使用,334,334,numeric
9603,202501,新北市,強盜搶奪,3,3,numeric
9603,202501,新北市,內亂,0,-,dash_zero
9603,202501,新北市,重利,17,17,numeric
9603,202501,新北市,竊佔,22,22,numeric
9603,202501,新北市,偽造有價證券,1,1,numeric
9603,202501,新北市,妨害秩序,11,11,numeric
9603,202501,新北市,違反藥事法,0,-,dash_zero
9603,202501,新北市,違反國家總動員法,0,-,dash_zero
9603,202501,新北市,違反森林法,0,-,dash_zero
9603,202501,新北市,違反著作權法,20,20,numeric
9603,202501,新北市,違反專利法,0,-,dash_zero
9603,202501,新北市,違反商標法,7,7,numeric
9603,202501,新北市,公共危險,336,336,numeric
9603,202501,新北市,侵害墳墓屍體,0,-,dash_zero
9603,202501,新北市,妨害名譽,396,396,numeric
9603,202501,新北市,違反就業服務法,0,-,dash_zero
9603,202501,新北市,違反選罷法,0,-,dash_zero
9603,202501,新北市,妨害秘密,23,23,numeric
9603,202501,新北市,遺棄,6,6,numeric
9603,202501,新北市,違反貪污治罪條例,1,1,numeric
9603,202501,新北市,瀆職,2,2,numeric
9603,202501,新北市,懲治走私條例,0,-,dash_zero
9603,202501,新北市,妨害兵役,0,-,dash_zero
9603,202501,新北市,偽造貨幣,1,1,numeric
9603,202501,新北市,偽造度量衡,0,-,dash_zero
9603,202501,新北市,偽證,1,1,numeric
9603,202501,新北市,誣告,30,30,numeric
9603,202501,新北市,湮滅證據,0,-,dash_zero
9603,202501,新北市,藏匿頂替,1,1,numeric
9603,202501,新北市,脫逃,2,2,numeric
9603,202501,新北市,違反槍砲彈藥刀械管制條例,9,9,numeric
9603,202501,新北市,其他,256,256,numeric
9603,202501,臺北市,總計,4822,4822,numeric
9603,202501,臺北市,竊盜,513,513,numeric
9603,202501,臺北市,贓物,1,1,numeric
9603,202501,臺北市,賭博,31,31,numeric
9603,202501,臺北市,傷害,307,307,numeric
9603,202501,臺北市,詐欺背信,1447,1447,numeric
9603,202501,臺北市,妨害自由,259,259,numeric
9603,202501,臺北市,殺人,2,2,numeric
9603,202501,臺北市,駕駛過失,294,294,numeric
9603,202501,臺北市,妨害家庭及婚姻,7,7,numeric
9603,202501,臺北市,妨害風化,35,35,numeric
9603,202501,臺北市,妨害性自主罪,36,36,numeric
9603,202501,臺北市,恐嚇取財,8,8,numeric
9603,202501,臺北市,擄人勒贖,0,-,dash_zero
9603,202501,臺北市,侵占,348,348,numeric
9603,202501,臺北市,偽造文書印文,100,100,numeric
9603,202501,臺北市,違反毒品危害防制條例,253,253,numeric
9603,202501,臺北市,毀棄損壞,141,141,numeric
9603,202501,臺北市,妨害公務,8,8,numeric
9603,202501,臺北市,妨害電腦使用,141,141,numeric
9603,202501,臺北市,強盜搶奪,3,3,numeric
9603,202501,臺北市,內亂,0,-,dash_zero
9603,202501,臺北市,重利,8,8,numeric
9603,202501,臺北市,竊佔,8,8,numeric
9603,202501,臺北市,偽造有價證券,0,-,dash_zero
9603,202501,臺北市,妨害秩序,10,10,numeric
9603,202501,臺北市,違反藥事法,0,-,dash_zero
9603,202501,臺北市,違反國家總動員法,0,-,dash_zero
9603,202501,臺北市,違反森林法,0,-,dash_zero
9603,202501,臺北市,違反著作權法,22,22,numeric
9603,202501,臺北市,違反專利法,0,-,dash_zero
9603,202501,臺北市,違反商標法,10,10,numeric
9603,202501,臺北市,公共危險,345,345,numeric
9603,202501,臺北市,侵害墳墓屍體,0,-,dash_zero
9603,202501,臺北市,妨害名譽,266,266,numeric
9603,202501,臺北市,違反就業服務法,0,-,dash_zero
9603,202501,臺北市,違反選罷法,0,-,dash_zero
9603,202501,臺北市,妨害秘密,17,17,numeric
9603,202501,臺北市,遺棄,1,1,numeric
9603,202501,臺北市,違反貪污治罪條例,1,1,numeric
9603,202501,臺北市,瀆職,7,7,numeric
9603,202501,臺北市,懲治走私條例,0,-,dash_zero
9603,202501,臺北市,妨害兵役,0,-,dash_zero
9603,202501,臺北市,偽造貨幣,2,2,numeric
9603,202501,臺北市,偽造度量衡,0,-,dash_zero
9603,202501,臺北市,偽證,2,2,numeric
9603,202501,臺北市,誣告,19,19,numeric
9603,202501,臺北市,湮滅證據,0,-,dash_zero
9603,202501,臺北市,藏匿頂替,0,-,dash_zero
9603,202501,臺北市,脫逃,0,-,dash_zero
9603,202501,臺北市,違反槍砲彈藥刀械管制條例,10,10,numeric
9603,202501,臺北市,其他,160,160,numeric
9603,202501,桃園市,總計,4521,4521,numeric
9603,202501,桃園市,竊盜,684,684,numeric
9603,202501,桃園市,贓物,0,-,dash_zero
9603,202501,桃園市,賭博,26,26,numeric
9603,202501,桃園市,傷害,230,230,numeric
9603,202501,桃園市,詐欺背信,1751,1751,numeric
9603,202501,桃園市,妨害自由,216,216,numeric
9603,202501,桃園市,殺人,2,2,numeric
9603,202501,桃園市,駕駛過失,329,329,numeric
9603,202501,桃園市,妨害家庭及婚姻,1,1,numeric
9603,202501,桃園市,妨害風化,2,2,numeric
9603,202501,桃園市,妨害性自主罪,43,43,numeric
9603,202501,桃園市,恐嚇取財,8,8,numeric
9603,202501,桃園市,擄人勒贖,0,-,dash_zero
9603,202501,桃園市,侵占,183,183,numeric
9603,202501,桃園市,偽造文書印文,53,53,numeric
9603,202501,桃園市,違反毒品危害防制條例,234,234,numeric
9603,202501,桃園市,毀棄損壞,151,151,numeric
9603,202501,桃園市,妨害公務,0,-,dash_zero
9603,202501,桃園市,妨害電腦使用,133,133,numeric
9603,202501,桃園市,強盜搶奪,2,2,numeric
9603,202501,桃園市,內亂,0,-,dash_zero
9603,202501,桃園市,重利,2,2,numeric
9603,202501,桃園市,竊佔,7,7,numeric
9603,202501,桃園市,偽造有價證券,0,-,dash_zero
9603,202501,桃園市,妨害秩序,0,-,dash_zero
9603,202501,桃園市,違反藥事法,1,1,numeric
9603,202501,桃園市,違反國家總動員法,0,-,dash_zero
9603,202501,桃園市,違反森林法,0,-,dash_zero
9603,202501,桃園市,違反著作權法,5,5,numeric
9603,202501,桃園市,違反專利法,0,-,dash_zero
