dataset_id,source_month,geography,metric,value,source_value,value_status
9603,202603,機關別總計,總計,52098,52098,numeric
9603,202603,機關別總計,竊盜,6287,6287,numeric
9603,202603,機關別總計,贓物,9,9,numeric
9603,202603,機關別總計,賭博,263,263,numeric
9603,202603,機關別總計,傷害,2385,2385,numeric
9603,202603,機關別總計,詐欺背信,15768,15768,numeric
9603,202603,機關別總計,妨害自由,2660,2660,numeric
9603,202603,機關別總計,殺人,27,27,numeric
9603,202603,機關別總計,駕駛過失,3414,3414,numeric
9603,202603,機關別總計,妨害家庭及婚姻,37,37,numeric
9603,202603,機關別總計,妨害風化,120,120,numeric
9603,202603,機關別總計,妨害性自主罪,467,467,numeric
9603,202603,機關別總計,恐嚇取財,108,108,numeric
9603,202603,機關別總計,擄人勒贖,0,-,dash_zero
9603,202603,機關別總計,侵占,2248,2248,numeric
9603,202603,機關別總計,偽造文書印文,745,745,numeric
9603,202603,機關別總計,違反毒品危害防制條例,4610,4610,numeric
9603,202603,機關別總計,毀棄損壞,1305,1305,numeric
9603,202603,機關別總計,妨害公務,104,104,numeric
9603,202603,機關別總計,妨害電腦使用,1518,1518,numeric
9603,202603,機關別總計,強盜搶奪,14,14,numeric
9603,202603,機關別總計,內亂,0,-,dash_zero
9603,202603,機關別總計,重利,68,68,numeric
9603,202603,機關別總計,竊佔,88,88,numeric
9603,202603,機關別總計,偽造有價證券,6,6,numeric
9603,202603,機關別總計,妨害秩序,109,109,numeric
9603,202603,機關別總計,違反藥事法,12,12,numeric
9603,202603,機關別總計,違反國家總動員法,0,-,dash_zero
9603,202603,機關別總計,違反森林法,15,15,numeric
9603,202603,機關別總計,違反著作權法,70,70,numeric
9603,202603,機關別總計,違反專利法,0,-,dash_zero
9603,202603,機關別總計,違反商標法,38,38,numeric
9603,202603,機關別總計,公共危險,4706,4706,numeric
9603,202603,機關別總計,侵害墳墓屍體,2,2,numeric
9603,202603,機關別總計,妨害名譽,2356,2356,numeric
9603,202603,機關別總計,違反就業服務法,0,-,dash_zero
9603,202603,機關別總計,違反選罷法,3,3,numeric
9603,202603,機關別總計,妨害秘密,150,150,numeric
9603,202603,機關別總計,遺棄,25,25,numeric
9603,202603,機關別總計,違反貪污治罪條例,5,5,numeric
9603,202603,機關別總計,瀆職,29,29,numeric
9603,202603,機關別總計,懲治走私條例,0,-,dash_zero
9603,202603,機關別總計,妨害兵役,14,14,numeric
9603,202603,機關別總計,偽造貨幣,10,10,numeric
9603,202603,機關別總計,偽造度量衡,0,-,dash_zero
9603,202603,機關別總計,偽證,12,12,numeric
9603,202603,機關別總計,誣告,145,145,numeric
9603,202603,機關別總計,湮滅證據,2,2,numeric
9603,202603,機關別總計,藏匿頂替,9,9,numeric
9603,202603,機關別總計,脫逃,2,2,numeric
9603,202603,機關別總計,違反槍砲彈藥刀械管制條例,106,106,numeric
9603,202603,機關別總計,其他,2027,2027,numeric
9603,202603,新北市,總計,9550,9550,numeric
9603,202603,新北市,竊盜,1005,1005,numeric
9603,202603,新北市,贓物,0,-,dash_zero
9603,202603,新北市,賭博,46,46,numeric
9603,202603,新北市,傷害,426,426,numeric
9603,202603,新北市,詐欺背信,2981,2981,numeric
9603,202603,新北市,妨害自由,524,524,numeric
9603,202603,新北市,殺人,4,4,numeric
9603,202603,新北市,駕駛過失,602,602,numeric
9603,202603,新北市,妨害家庭及婚姻,9,9,numeric
9603,202603,新北市,妨害風化,14,14,numeric
9603,202603,新北市,妨害性自主罪,79,79,numeric
9603,202603,新北市,恐嚇取財,11,11,numeric
9603,202603,新北市,擄人勒贖,0,-,dash_zero
9603,202603,新北市,侵占,489,489,numeric
9603,202603,新北市,偽造文書印文,135,135,numeric
9603,202603,新北市,違反毒品危害防制條例,1002,1002,numeric
9603,202603,新北市,毀棄損壞,251,251,numeric
9603,202603,新北市,妨害公務,13,13,numeric
9603,202603,新北市,妨害電腦使用,395,395,numeric
9603,202603,新北市,強盜搶奪,2,2,numeric
9603,202603,新北市,內亂,0,-,dash_zero
9603,202603,新北市,重利,9,9,numeric
9603,202603,新北市,竊佔,16,16,numeric
9603,202603,新北市,偽造有價證券,2,2,numeric
9603,202603,新北市,妨害秩序,13,13,numeric
9603,202603,新北市,違反藥事法,1,1,numeric
9603,202603,新北市,違反國家總動員法,0,-,dash_zero
9603,202603,新北市,違反森林法,0,-,dash_zero
9603,202603,新北市,違反著作權法,15,15,numeric
9603,202603,新北市,違反專利法,0,-,dash_zero
9603,202603,新北市,違反商標法,7,7,numeric
9603,202603,新北市,公共危險,660,660,numeric
9603,202603,新北市,侵害墳墓屍體,1,1,numeric
9603,202603,新北市,妨害名譽,462,462,numeric
9603,202603,新北市,違反就業服務法,0,-,dash_zero
9603,202603,新北市,違反選罷法,0,-,dash_zero
9603,202603,新北市,妨害秘密,28,28,numeric
9603,202603,新北市,遺棄,5,5,numeric
9603,202603,新北市,違反貪污治罪條例,1,1,numeric
9603,202603,新北市,瀆職,15,15,numeric
9603,202603,新北市,懲治走私條例,0,-,dash_zero
9603,202603,新北市,妨害兵役,1,1,numeric
9603,202603,新北市,偽造貨幣,2,2,numeric
9603,202603,新北市,偽造度量衡,0,-,dash_zero
9603,202603,新北市,偽證,3,3,numeric
9603,202603,新北市,誣告,23,23,numeric
9603,202603,新北市,湮滅證據,0,-,dash_zero
9603,202603,新北市,藏匿頂替,0,-,dash_zero
9603,202603,新北市,脫逃,0,-,dash_zero
9603,202603,新北市,違反槍砲彈藥刀械管制條例,14,14,numeric
9603,202603,新北市,其他,284,284,numeric
9603,202603,臺北市,總計,5482,5482,numeric
9603,202603,臺北市,竊盜,554,554,numeric
9603,202603,臺北市,贓物,1,1,numeric
9603,202603,臺北市,賭博,18,18,numeric
9603,202603,臺北市,傷害,323,323,numeric
9603,202603,臺北市,詐欺背信,1557,1557,numeric
9603,202603,臺北市,妨害自由,339,339,numeric
9603,202603,臺北市,殺人,8,8,numeric
9603,202603,臺北市,駕駛過失,342,342,numeric
9603,202603,臺北市,妨害家庭及婚姻,4,4,numeric
9603,202603,臺北市,妨害風化,31,31,numeric
9603,202603,臺北市,妨害性自主罪,37,37,numeric
9603,202603,臺北市,恐嚇取財,7,7,numeric
9603,202603,臺北市,擄人勒贖,0,-,dash_zero
9603,202603,臺北市,侵占,391,391,numeric
9603,202603,臺北市,偽造文書印文,100,100,numeric
9603,202603,臺北市,違反毒品危害防制條例,421,421,numeric
9603,202603,臺北市,毀棄損壞,155,155,numeric
9603,202603,臺北市,妨害公務,21,21,numeric
9603,202603,臺北市,妨害電腦使用,101,101,numeric
9603,202603,臺北市,強盜搶奪,4,4,numeric
9603,202603,臺北市,內亂,0,-,dash_zero
9603,202603,臺北市,重利,6,6,numeric
9603,202603,臺北市,竊佔,17,17,numeric
9603,202603,臺北市,偽造有價證券,2,2,numeric
9603,202603,臺北市,妨害秩序,18,18,numeric
9603,202603,臺北市,違反藥事法,1,1,numeric
9603,202603,臺北市,違反國家總動員法,0,-,dash_zero
9603,202603,臺北市,違反森林法,0,-,dash_zero
9603,202603,臺北市,違反著作權法,12,12,numeric
