dataset_id,source_month,geography,metric,value,source_value,value_status
9603,202504,機關別總計,總計,53946,53946,numeric
9603,202504,機關別總計,竊盜,6732,6732,numeric
9603,202504,機關別總計,贓物,5,5,numeric
9603,202504,機關別總計,賭博,193,193,numeric
9603,202504,機關別總計,傷害,2151,2151,numeric
9603,202504,機關別總計,詐欺背信,18820,18820,numeric
9603,202504,機關別總計,妨害自由,2550,2550,numeric
9603,202504,機關別總計,殺人,24,24,numeric
9603,202504,機關別總計,駕駛過失,3100,3100,numeric
9603,202504,機關別總計,妨害家庭及婚姻,41,41,numeric
9603,202504,機關別總計,妨害風化,80,80,numeric
9603,202504,機關別總計,妨害性自主罪,539,539,numeric
9603,202504,機關別總計,恐嚇取財,72,72,numeric
9603,202504,機關別總計,擄人勒贖,1,1,numeric
9603,202504,機關別總計,侵占,2100,2100,numeric
9603,202504,機關別總計,偽造文書印文,758,758,numeric
9603,202504,機關別總計,違反毒品危害防制條例,4206,4206,numeric
9603,202504,機關別總計,毀棄損壞,1314,1314,numeric
9603,202504,機關別總計,妨害公務,70,70,numeric
9603,202504,機關別總計,妨害電腦使用,2328,2328,numeric
9603,202504,機關別總計,強盜搶奪,12,12,numeric
9603,202504,機關別總計,內亂,0,-,dash_zero
9603,202504,機關別總計,重利,81,81,numeric
9603,202504,機關別總計,竊佔,92,92,numeric
9603,202504,機關別總計,偽造有價證券,12,12,numeric
9603,202504,機關別總計,妨害秩序,70,70,numeric
9603,202504,機關別總計,違反藥事法,9,9,numeric
9603,202504,機關別總計,違反國家總動員法,0,-,dash_zero
9603,202504,機關別總計,違反森林法,15,15,numeric
9603,202504,機關別總計,違反著作權法,100,100,numeric
9603,202504,機關別總計,違反專利法,0,-,dash_zero
9603,202504,機關別總計,違反商標法,36,36,numeric
9603,202504,機關別總計,公共危險,3842,3842,numeric
9603,202504,機關別總計,侵害墳墓屍體,2,2,numeric
9603,202504,機關別總計,妨害名譽,2142,2142,numeric
9603,202504,機關別總計,違反就業服務法,1,1,numeric
9603,202504,機關別總計,違反選罷法,20,20,numeric
9603,202504,機關別總計,妨害秘密,132,132,numeric
9603,202504,機關別總計,遺棄,20,20,numeric
9603,202504,機關別總計,違反貪污治罪條例,5,5,numeric
9603,202504,機關別總計,瀆職,15,15,numeric
9603,202504,機關別總計,懲治走私條例,0,-,dash_zero
9603,202504,機關別總計,妨害兵役,0,-,dash_zero
9603,202504,機關別總計,偽造貨幣,5,5,numeric
9603,202504,機關別總計,偽造度量衡,0,-,dash_zero
9603,202504,機關別總計,偽證,7,7,numeric
9603,202504,機關別總計,誣告,136,136,numeric
9603,202504,機關別總計,湮滅證據,1,1,numeric
9603,202504,機關別總計,藏匿頂替,5,5,numeric
9603,202504,機關別總計,脫逃,2,2,numeric
9603,202504,機關別總計,違反槍砲彈藥刀械管制條例,83,83,numeric
9603,202504,機關別總計,其他,2017,2017,numeric
9603,202504,新北市,總計,9847,9847,numeric
9603,202504,新北市,竊盜,1241,1241,numeric
9603,202504,新北市,贓物,0,-,dash_zero
9603,202504,新北市,賭博,21,21,numeric
9603,202504,新北市,傷害,383,383,numeric
9603,202504,新北市,詐欺背信,3590,3590,numeric
9603,202504,新北市,妨害自由,488,488,numeric
9603,202504,新北市,殺人,4,4,numeric
9603,202504,新北市,駕駛過失,499,499,numeric
9603,202504,新北市,妨害家庭及婚姻,9,9,numeric
9603,202504,新北市,妨害風化,16,16,numeric
9603,202504,新北市,妨害性自主罪,88,88,numeric
9603,202504,新北市,恐嚇取財,11,11,numeric
9603,202504,新北市,擄人勒贖,0,-,dash_zero
9603,202504,新北市,侵占,433,433,numeric
9603,202504,新北市,偽造文書印文,147,147,numeric
9603,202504,新北市,違反毒品危害防制條例,834,834,numeric
9603,202504,新北市,毀棄損壞,246,246,numeric
9603,202504,新北市,妨害公務,19,19,numeric
9603,202504,新北市,妨害電腦使用,524,524,numeric
9603,202504,新北市,強盜搶奪,3,3,numeric
9603,202504,新北市,內亂,0,-,dash_zero
9603,202504,新北市,重利,26,26,numeric
9603,202504,新北市,竊佔,17,17,numeric
9603,202504,新北市,偽造有價證券,5,5,numeric
9603,202504,新北市,妨害秩序,6,6,numeric
9603,202504,新北市,違反藥事法,1,1,numeric
9603,202504,新北市,違反國家總動員法,0,-,dash_zero
9603,202504,新北市,違反森林法,0,-,dash_zero
9603,202504,新北市,違反著作權法,27,27,numeric
9603,202504,新北市,違反專利法,0,-,dash_zero
9603,202504,新北市,違反商標法,4,4,numeric
9603,202504,新北市,公共危險,384,384,numeric
9603,202504,新北市,侵害墳墓屍體,0,-,dash_zero
9603,202504,新北市,妨害名譽,447,447,numeric
9603,202504,新北市,違反就業服務法,0,-,dash_zero
9603,202504,新北市,違反選罷法,4,4,numeric
9603,202504,新北市,妨害秘密,24,24,numeric
9603,202504,新北市,遺棄,6,6,numeric
9603,202504,新北市,違反貪污治罪條例,1,1,numeric
9603,202504,新北市,瀆職,1,1,numeric
9603,202504,新北市,懲治走私條例,0,-,dash_zero
9603,202504,新北市,妨害兵役,0,-,dash_zero
9603,202504,新北市,偽造貨幣,1,1,numeric
9603,202504,新北市,偽造度量衡,0,-,dash_zero
9603,202504,新北市,偽證,0,-,dash_zero
9603,202504,新北市,誣告,26,26,numeric
9603,202504,新北市,湮滅證據,0,-,dash_zero
9603,202504,新北市,藏匿頂替,1,1,numeric
9603,202504,新北市,脫逃,0,-,dash_zero
9603,202504,新北市,違反槍砲彈藥刀械管制條例,13,13,numeric
9603,202504,新北市,其他,297,297,numeric
9603,202504,臺北市,總計,5592,5592,numeric
9603,202504,臺北市,竊盜,576,576,numeric
9603,202504,臺北市,贓物,0,-,dash_zero
9603,202504,臺北市,賭博,20,20,numeric
9603,202504,臺北市,傷害,282,282,numeric
9603,202504,臺北市,詐欺背信,1849,1849,numeric
9603,202504,臺北市,妨害自由,287,287,numeric
9603,202504,臺北市,殺人,2,2,numeric
9603,202504,臺北市,駕駛過失,302,302,numeric
9603,202504,臺北市,妨害家庭及婚姻,3,3,numeric
9603,202504,臺北市,妨害風化,19,19,numeric
9603,202504,臺北市,妨害性自主罪,62,62,numeric
9603,202504,臺北市,恐嚇取財,2,2,numeric
9603,202504,臺北市,擄人勒贖,0,-,dash_zero
9603,202504,臺北市,侵占,358,358,numeric
9603,202504,臺北市,偽造文書印文,94,94,numeric
9603,202504,臺北市,違反毒品危害防制條例,377,377,numeric
9603,202504,臺北市,毀棄損壞,142,142,numeric
9603,202504,臺北市,妨害公務,8,8,numeric
9603,202504,臺北市,妨害電腦使用,193,193,numeric
9603,202504,臺北市,強盜搶奪,0,-,dash_zero
9603,202504,臺北市,內亂,0,-,dash_zero
9603,202504,臺北市,重利,5,5,numeric
9603,202504,臺北市,竊佔,4,4,numeric
9603,202504,臺北市,偽造有價證券,2,2,numeric
9603,202504,臺北市,妨害秩序,8,8,numeric
9603,202504,臺北市,違反藥事法,0,-,dash_zero
9603,202504,臺北市,違反國家總動員法,0,-,dash_zero
9603,202504,臺北市,違反森林法,0,-,dash_zero
9603,202504,臺北市,違反著作權法,12,12,numeric
9603,202504,臺北市,違反專利法,0,-,dash_zero
9603,202504,臺北市,違反商標法,8,8,numeric
9603,202504,臺北市,公共危險,373,373,numeric
9603,202504,臺北市,侵害墳墓屍體,0,-,dash_zero
9603,202504,臺北市,妨害名譽,324,324,numeric
9603,202504,臺北市,違反就業服務法,0,-,dash_zero
9603,202504,臺北市,違反選罷法,7,7,numeric
9603,202504,臺北市,妨害秘密,12,12,numeric
9603,202504,臺北市,遺棄,3,3,numeric
9603,202504,臺北市,違反貪污治罪條例,0,-,dash_zero
9603,202504,臺北市,瀆職,5,5,numeric
9603,202504,臺北市,懲治走私條例,0,-,dash_zero
9603,202504,臺北市,妨害兵役,0,-,dash_zero
9603,202504,臺北市,偽造貨幣,0,-,dash_zero
9603,202504,臺北市,偽造度量衡,0,-,dash_zero
9603,202504,臺北市,偽證,2,2,numeric
9603,202504,臺北市,誣告,17,17,numeric
9603,202504,臺北市,湮滅證據,0,-,dash_zero
9603,202504,臺北市,藏匿頂替,0,-,dash_zero
9603,202504,臺北市,脫逃,0,-,dash_zero
9603,202504,臺北市,違反槍砲彈藥刀械管制條例,9,9,numeric
9603,202504,臺北市,其他,225,225,numeric
9603,202504,桃園市,總計,5284,5284,numeric
9603,202504,桃園市,竊盜,698,698,numeric
9603,202504,桃園市,贓物,0,-,dash_zero
9603,202504,桃園市,賭博,9,9,numeric
9603,202504,桃園市,傷害,217,217,numeric
9603,202504,桃園市,詐欺背信,2213,2213,numeric
9603,202504,桃園市,妨害自由,264,264,numeric
9603,202504,桃園市,殺人,2,2,numeric
9603,202504,桃園市,駕駛過失,341,341,numeric
9603,202504,桃園市,妨害家庭及婚姻,4,4,numeric
9603,202504,桃園市,妨害風化,0,-,dash_zero
9603,202504,桃園市,妨害性自主罪,60,60,numeric
9603,202504,桃園市,恐嚇取財,7,7,numeric
9603,202504,桃園市,擄人勒贖,0,-,dash_zero
9603,202504,桃園市,侵占,225,225,numeric
9603,202504,桃園市,偽造文書印文,59,59,numeric
9603,202504,桃園市,違反毒品危害防制條例,279,279,numeric
9603,202504,桃園市,毀棄損壞,180,180,numeric
9603,202504,桃園市,妨害公務,3,3,numeric
9603,202504,桃園市,妨害電腦使用,224,224,numeric
9603,202504,桃園市,強盜搶奪,0,-,dash_zero
9603,202504,桃園市,內亂,0,-,dash_zero
9603,202504,桃園市,重利,1,1,numeric
9603,202504,桃園市,竊佔,5,5,numeric
9603,202504,桃園市,偽造有價證券,0,-,dash_zero
9603,202504,桃園市,妨害秩序,4,4,numeric
9603,202504,桃園市,違反藥事法,0,-,dash_zero
9603,202504,桃園市,違反國家總動員法,0,-,dash_zero
9603,202504,桃園市,違反森林法,0,-,dash_zero
9603,202504,桃園市,違反著作權法,14,14,numeric
9603,202504,桃園市,違反專利法,0,-,dash_zero
9603,202504,桃園市,違反商標法,2,2,numeric
9603,202504,桃園市,公共危險,99,99,numeric
9603,202504,桃園市,侵害墳墓屍體,0,-,dash_zero
9603,202504,桃園市,妨害名譽,182,182,numeric
9603,202504,桃園市,違反就業服務法,0,-,dash_zero
9603,202504,桃園市,違反選罷法,0,-,dash_zero
9603,202504,桃園市,妨害秘密,12,12,numeric
9603,202504,桃園市,遺棄,2,2,numeric
9603,202504,桃園市,違反貪污治罪條例,0,-,dash_zero
9603,202504,桃園市,瀆職,1,1,numeric
9603,202504,桃園市,懲治走私條例,0,-,dash_zero
9603,202504,桃園市,妨害兵役,0,-,dash_zero
9603,202504,桃園市,偽造貨幣,1,1,numeric
9603,202504,桃園市,偽造度量衡,0,-,dash_zero
9603,202504,桃園市,偽證,0,-,dash_zero
9603,202504,桃園市,誣告,16,16,numeric
9603,202504,桃園市,湮滅證據,0,-,dash_zero
9603,202504,桃園市,藏匿頂替,0,-,dash_zero
9603,202504,桃園市,脫逃,0,-,dash_zero
9603,202504,桃園市,違反槍砲彈藥刀械管制條例,1,1,numeric
9603,202504,桃園市,其他,159,159,numeric
9603,202504,臺中市,總計,6714,6714,numeric
9603,202504,臺中市,竊盜,795,795,numeric
