dataset_id,source_month,geography,metric,value,source_value,value_status
9603,202509,機關別總計,總計,50329,50329,numeric
9603,202509,機關別總計,竊盜,6382,6382,numeric
9603,202509,機關別總計,贓物,4,4,numeric
9603,202509,機關別總計,賭博,162,162,numeric
9603,202509,機關別總計,傷害,2060,2060,numeric
9603,202509,機關別總計,詐欺背信,16005,16005,numeric
9603,202509,機關別總計,妨害自由,2503,2503,numeric
9603,202509,機關別總計,殺人,34,34,numeric
9603,202509,機關別總計,駕駛過失,2843,2843,numeric
9603,202509,機關別總計,妨害家庭及婚姻,44,44,numeric
9603,202509,機關別總計,妨害風化,100,100,numeric
9603,202509,機關別總計,妨害性自主罪,481,481,numeric
9603,202509,機關別總計,恐嚇取財,83,83,numeric
9603,202509,機關別總計,擄人勒贖,0,-,dash_zero
9603,202509,機關別總計,侵占,2031,2031,numeric
9603,202509,機關別總計,偽造文書印文,714,714,numeric
9603,202509,機關別總計,違反毒品危害防制條例,4650,4650,numeric
9603,202509,機關別總計,毀棄損壞,1362,1362,numeric
9603,202509,機關別總計,妨害公務,81,81,numeric
9603,202509,機關別總計,妨害電腦使用,1250,1250,numeric
9603,202509,機關別總計,強盜搶奪,38,38,numeric
9603,202509,機關別總計,內亂,0,-,dash_zero
9603,202509,機關別總計,重利,81,81,numeric
9603,202509,機關別總計,竊佔,100,100,numeric
9603,202509,機關別總計,偽造有價證券,9,9,numeric
9603,202509,機關別總計,妨害秩序,63,63,numeric
9603,202509,機關別總計,違反藥事法,7,7,numeric
9603,202509,機關別總計,違反國家總動員法,0,-,dash_zero
9603,202509,機關別總計,違反森林法,13,13,numeric
9603,202509,機關別總計,違反著作權法,86,86,numeric
9603,202509,機關別總計,違反專利法,0,-,dash_zero
9603,202509,機關別總計,違反商標法,33,33,numeric
9603,202509,機關別總計,公共危險,4375,4375,numeric
9603,202509,機關別總計,侵害墳墓屍體,2,2,numeric
9603,202509,機關別總計,妨害名譽,2229,2229,numeric
9603,202509,機關別總計,違反就業服務法,2,2,numeric
9603,202509,機關別總計,違反選罷法,2,2,numeric
9603,202509,機關別總計,妨害秘密,135,135,numeric
9603,202509,機關別總計,遺棄,21,21,numeric
9603,202509,機關別總計,違反貪污治罪條例,0,-,dash_zero
9603,202509,機關別總計,瀆職,10,10,numeric
9603,202509,機關別總計,懲治走私條例,0,-,dash_zero
9603,202509,機關別總計,妨害兵役,0,-,dash_zero
9603,202509,機關別總計,偽造貨幣,4,4,numeric
9603,202509,機關別總計,偽造度量衡,0,-,dash_zero
9603,202509,機關別總計,偽證,7,7,numeric
9603,202509,機關別總計,誣告,144,144,numeric
9603,202509,機關別總計,湮滅證據,5,5,numeric
9603,202509,機關別總計,藏匿頂替,7,7,numeric
9603,202509,機關別總計,脫逃,0,-,dash_zero
9603,202509,機關別總計,違反槍砲彈藥刀械管制條例,76,76,numeric
9603,202509,機關別總計,其他,2091,2091,numeric
9603,202509,新北市,總計,9161,9161,numeric
9603,202509,新北市,竊盜,1132,1132,numeric
9603,202509,新北市,贓物,0,-,dash_zero
9603,202509,新北市,賭博,20,20,numeric
9603,202509,新北市,傷害,360,360,numeric
9603,202509,新北市,詐欺背信,2950,2950,numeric
9603,202509,新北市,妨害自由,535,535,numeric
9603,202509,新北市,殺人,6,6,numeric
9603,202509,新北市,駕駛過失,478,478,numeric
9603,202509,新北市,妨害家庭及婚姻,7,7,numeric
9603,202509,新北市,妨害風化,19,19,numeric
9603,202509,新北市,妨害性自主罪,78,78,numeric
9603,202509,新北市,恐嚇取財,12,12,numeric
9603,202509,新北市,擄人勒贖,0,-,dash_zero
9603,202509,新北市,侵占,403,403,numeric
9603,202509,新北市,偽造文書印文,115,115,numeric
9603,202509,新北市,違反毒品危害防制條例,1049,1049,numeric
9603,202509,新北市,毀棄損壞,284,284,numeric
9603,202509,新北市,妨害公務,19,19,numeric
9603,202509,新北市,妨害電腦使用,315,315,numeric
9603,202509,新北市,強盜搶奪,3,3,numeric
9603,202509,新北市,內亂,0,-,dash_zero
9603,202509,新北市,重利,17,17,numeric
9603,202509,新北市,竊佔,13,13,numeric
9603,202509,新北市,偽造有價證券,1,1,numeric
9603,202509,新北市,妨害秩序,16,16,numeric
9603,202509,新北市,違反藥事法,2,2,numeric
9603,202509,新北市,違反國家總動員法,0,-,dash_zero
9603,202509,新北市,違反森林法,0,-,dash_zero
9603,202509,新北市,違反著作權法,21,21,numeric
9603,202509,新北市,違反專利法,0,-,dash_zero
9603,202509,新北市,違反商標法,3,3,numeric
9603,202509,新北市,公共危險,479,479,numeric
9603,202509,新北市,侵害墳墓屍體,0,-,dash_zero
9603,202509,新北市,妨害名譽,426,426,numeric
9603,202509,新北市,違反就業服務法,0,-,dash_zero
9603,202509,新北市,違反選罷法,0,-,dash_zero
9603,202509,新北市,妨害秘密,22,22,numeric
9603,202509,新北市,遺棄,4,4,numeric
9603,202509,新北市,違反貪污治罪條例,0,-,dash_zero
9603,202509,新北市,瀆職,1,1,numeric
9603,202509,新北市,懲治走私條例,0,-,dash_zero
9603,202509,新北市,妨害兵役,0,-,dash_zero
9603,202509,新北市,偽造貨幣,0,-,dash_zero
9603,202509,新北市,偽造度量衡,0,-,dash_zero
9603,202509,新北市,偽證,2,2,numeric
9603,202509,新北市,誣告,29,29,numeric
9603,202509,新北市,湮滅證據,0,-,dash_zero
9603,202509,新北市,藏匿頂替,0,-,dash_zero
9603,202509,新北市,脫逃,0,-,dash_zero
9603,202509,新北市,違反槍砲彈藥刀械管制條例,5,5,numeric
9603,202509,新北市,其他,335,335,numeric
9603,202509,臺北市,總計,5189,5189,numeric
9603,202509,臺北市,竊盜,516,516,numeric
9603,202509,臺北市,贓物,1,1,numeric
9603,202509,臺北市,賭博,20,20,numeric
9603,202509,臺北市,傷害,242,242,numeric
9603,202509,臺北市,詐欺背信,1616,1616,numeric
9603,202509,臺北市,妨害自由,281,281,numeric
9603,202509,臺北市,殺人,5,5,numeric
9603,202509,臺北市,駕駛過失,308,308,numeric
9603,202509,臺北市,妨害家庭及婚姻,3,3,numeric
9603,202509,臺北市,妨害風化,31,31,numeric
9603,202509,臺北市,妨害性自主罪,45,45,numeric
9603,202509,臺北市,恐嚇取財,4,4,numeric
9603,202509,臺北市,擄人勒贖,0,-,dash_zero
9603,202509,臺北市,侵占,353,353,numeric
9603,202509,臺北市,偽造文書印文,103,103,numeric
9603,202509,臺北市,違反毒品危害防制條例,357,357,numeric
9603,202509,臺北市,毀棄損壞,130,130,numeric
9603,202509,臺北市,妨害公務,12,12,numeric
9603,202509,臺北市,妨害電腦使用,111,111,numeric
9603,202509,臺北市,強盜搶奪,3,3,numeric
9603,202509,臺北市,內亂,0,-,dash_zero
9603,202509,臺北市,重利,10,10,numeric
9603,202509,臺北市,竊佔,12,12,numeric
9603,202509,臺北市,偽造有價證券,2,2,numeric
9603,202509,臺北市,妨害秩序,5,5,numeric
9603,202509,臺北市,違反藥事法,1,1,numeric
9603,202509,臺北市,違反國家總動員法,0,-,dash_zero
9603,202509,臺北市,違反森林法,0,-,dash_zero
9603,202509,臺北市,違反著作權法,15,15,numeric
9603,202509,臺北市,違反專利法,0,-,dash_zero
9603,202509,臺北市,違反商標法,4,4,numeric
9603,202509,臺北市,公共危險,397,397,numeric
9603,202509,臺北市,侵害墳墓屍體,0,-,dash_zero
9603,202509,臺北市,妨害名譽,341,341,numeric
9603,202509,臺北市,違反就業服務法,0,-,dash_zero
9603,202509,臺北市,違反選罷法,0,-,dash_zero
9603,202509,臺北市,妨害秘密,21,21,numeric
9603,202509,臺北市,遺棄,3,3,numeric
9603,202509,臺北市,違反貪污治罪條例,0,-,dash_zero
9603,202509,臺北市,瀆職,2,2,numeric
9603,202509,臺北市,懲治走私條例,0,-,dash_zero
9603,202509,臺北市,妨害兵役,0,-,dash_zero
9603,202509,臺北市,偽造貨幣,1,1,numeric
9603,202509,臺北市,偽造度量衡,0,-,dash_zero
9603,202509,臺北市,偽證,2,2,numeric
9603,202509,臺北市,誣告,20,20,numeric
9603,202509,臺北市,湮滅證據,2,2,numeric
9603,202509,臺北市,藏匿頂替,0,-,dash_zero
9603,202509,臺北市,脫逃,0,-,dash_zero
9603,202509,臺北市,違反槍砲彈藥刀械管制條例,6,6,numeric
9603,202509,臺北市,其他,204,204,numeric
9603,202509,桃園市,總計,5800,5800,numeric
9603,202509,桃園市,竊盜,637,637,numeric
9603,202509,桃園市,贓物,1,1,numeric
9603,202509,桃園市,賭博,16,16,numeric
9603,202509,桃園市,傷害,249,249,numeric
9603,202509,桃園市,詐欺背信,1865,1865,numeric
9603,202509,桃園市,妨害自由,254,254,numeric
9603,202509,桃園市,殺人,2,2,numeric
9603,202509,桃園市,駕駛過失,288,288,numeric
9603,202509,桃園市,妨害家庭及婚姻,9,9,numeric
9603,202509,桃園市,妨害風化,6,6,numeric
9603,202509,桃園市,妨害性自主罪,61,61,numeric
9603,202509,桃園市,恐嚇取財,11,11,numeric
9603,202509,桃園市,擄人勒贖,0,-,dash_zero
9603,202509,桃園市,侵占,251,251,numeric
9603,202509,桃園市,偽造文書印文,69,69,numeric
9603,202509,桃園市,違反毒品危害防制條例,830,830,numeric
9603,202509,桃園市,毀棄損壞,176,176,numeric
9603,202509,桃園市,妨害公務,5,5,numeric
9603,202509,桃園市,妨害電腦使用,168,168,numeric
9603,202509,桃園市,強盜搶奪,5,5,numeric
9603,202509,桃園市,內亂,0,-,dash_zero
9603,202509,桃園市,重利,7,7,numeric
9603,202509,桃園市,竊佔,11,11,numeric
9603,202509,桃園市,偽造有價證券,0,-,dash_zero
9603,202509,桃園市,妨害秩序,0,-,dash_zero
9603,202509,桃園市,違反藥事法,0,-,dash_zero
9603,202509,桃園市,違反國家總動員法,0,-,dash_zero
9603,202509,桃園市,違反森林法,0,-,dash_zero
9603,202509,桃園市,違反著作權法,5,5,numeric
9603,202509,桃園市,違反專利法,0,-,dash_zero
9603,202509,桃園市,違反商標法,2,2,numeric
9603,202509,桃園市,公共危險,414,414,numeric
9603,202509,桃園市,侵害墳墓屍體,0,-,dash_zero
9603,202509,桃園市,妨害名譽,260,260,numeric
9603,202509,桃園市,違反就業服務法,0,-,dash_zero
9603,202509,桃園市,違反選罷法,0,-,dash_zero
9603,202509,桃園市,妨害秘密,11,11,numeric
9603,202509,桃園市,遺棄,2,2,numeric
9603,202509,桃園市,違反貪污治罪條例,0,-,dash_zero
9603,202509,桃園市,瀆職,0,-,dash_zero
9603,202509,桃園市,懲治走私條例,0,-,dash_zero
9603,202509,桃園市,妨害兵役,0,-,dash_zero
9603,202509,桃園市,偽造貨幣,1,1,numeric
9603,202509,桃園市,偽造度量衡,0,-,dash_zero
9603,202509,桃園市,偽證,0,-,dash_zero
9603,202509,桃園市,誣告,13,13,numeric
9603,202509,桃園市,湮滅證據,0,-,dash_zero
9603,202509,桃園市,藏匿頂替,0,-,dash_zero
9603,202509,桃園市,脫逃,0,-,dash_zero
9603,202509,桃園市,違反槍砲彈藥刀械管制條例,6,6,numeric
9603,202509,桃園市,其他,165,165,numeric
9603,202509,臺中市,總計,6396,6396,numeric
9603,202509,臺中市,竊盜,808,808,numeric
9603,202509,臺中市,贓物,0,-,dash_zero
9603,202509,臺中市,賭博,27,27,numeric
9603,202509,臺中市,傷害,248,248,numeric
9603,202509,臺中市,詐欺背信,2318,2318,numeric
9603,202509,臺中市,妨害自由,302,302,numeric
9603,202509,臺中市,殺人,3,3,numeric
9603,202509,臺中市,駕駛過失,246,246,numeric
9603,202509,臺中市,妨害家庭及婚姻,5,5,numeric
9603,202509,臺中市,妨害風化,13,13,numeric
9603,202509,臺中市,妨害性自主罪,69,69,numeric
9603,202509,臺中市,恐嚇取財,3,3,numeric
9603,202509,臺中市,擄人勒贖,0,-,dash_zero
9603,202509,臺中市,侵占,251,251,numeric
9603,202509,臺中市,偽造文書印文,79,79,numeric
9603,202509,臺中市,違反毒品危害防制條例,406,406,numeric
9603,202509,臺中市,毀棄損壞,165,165,numeric
9603,202509,臺中市,妨害公務,9,9,numeric
9603,202509,臺中市,妨害電腦使用,188,188,numeric
9603,202509,臺中市,強盜搶奪,1,1,numeric
9603,202509,臺中市,內亂,0,-,dash_zero
9603,202509,臺中市,重利,8,8,numeric
9603,202509,臺中市,竊佔,6,6,numeric
9603,202509,臺中市,偽造有價證券,0,-,dash_zero
9603,202509,臺中市,妨害秩序,8,8,numeric
9603,202509,臺中市,違反藥事法,0,-,dash_zero
9603,202509,臺中市,違反國家總動員法,0,-,dash_zero
9603,202509,臺中市,違反森林法,0,-,dash_zero
9603,202509,臺中市,違反著作權法,9,9,numeric
9603,202509,臺中市,違反專利法,0,-,dash_zero
9603,202509,臺中市,違反商標法,4,4,numeric
9603,202509,臺中市,公共危險,534,534,numeric
9603,202509,臺中市,侵害墳墓屍體,0,-,dash_zero
9603,202509,臺中市,妨害名譽,317,317,numeric
9603,202509,臺中市,違反就業服務法,0,-,dash_zero
9603,202509,臺中市,違反選罷法,0,-,dash_zero
9603,202509,臺中市,妨害秘密,18,18,numeric
9603,202509,臺中市,遺棄,5,5,numeric
9603,202509,臺中市,違反貪污治罪條例,0,-,dash_zero
9603,202509,臺中市,瀆職,1,1,numeric
9603,202509,臺中市,懲治走私條例,0,-,dash_zero
9603,202509,臺中市,妨害兵役,0,-,dash_zero
9603,202509,臺中市,偽造貨幣,1,1,numeric
9603,202509,臺中市,偽造度量衡,0,-,dash_zero
9603,202509,臺中市,偽證,0,-,dash_zero
9603,202509,臺中市,誣告,22,22,numeric
9603,202509,臺中市,湮滅證據,0,-,dash_zero
9603,202509,臺中市,藏匿頂替,1,1,numeric
9603,202509,臺中市,脫逃,0,-,dash_zero
9603,202509,臺中市,違反槍砲彈藥刀械管制條例,6,6,numeric
9603,202509,臺中市,其他,315,315,numeric
9603,202509,臺南市,總計,3900,3900,numeric
9603,202509,臺南市,竊盜,443,443,numeric
9603,202509,臺南市,贓物,0,-,dash_zero
9603,202509,臺南市,賭博,33,33,numeric
9603,202509,臺南市,傷害,137,137,numeric
9603,202509,臺南市,詐欺背信,1319,1319,numeric
9603,202509,臺南市,妨害自由,175,175,numeric
9603,202509,臺南市,殺人,1,1,numeric
9603,202509,臺南市,駕駛過失,289,289,numeric
9603,202509,臺南市,妨害家庭及婚姻,1,1,numeric
9603,202509,臺南市,妨害風化,4,4,numeric
9603,202509,臺南市,妨害性自主罪,45,45,numeric
9603,202509,臺南市,恐嚇取財,5,5,numeric
9603,202509,臺南市,擄人勒贖,0,-,dash_zero
9603,202509,臺南市,侵占,124,124,numeric
9603,202509,臺南市,偽造文書印文,50,50,numeric
9603,202509,臺南市,違反毒品危害防制條例,292,292,numeric
9603,202509,臺南市,毀棄損壞,89,89,numeric
9603,202509,臺南市,妨害公務,5,5,numeric
9603,202509,臺南市,妨害電腦使用,52,52,numeric
9603,202509,臺南市,強盜搶奪,7,7,numeric
9603,202509,臺南市,內亂,0,-,dash_zero
9603,202509,臺南市,重利,7,7,numeric
9603,202509,臺南市,竊佔,5,5,numeric
9603,202509,臺南市,偽造有價證券,0,-,dash_zero
9603,202509,臺南市,妨害秩序,7,7,numeric
9603,202509,臺南市,違反藥事法,1,1,numeric
9603,202509,臺南市,違反國家總動員法,0,-,dash_zero
9603,202509,臺南市,違反森林法,0,-,dash_zero
9603,202509,臺南市,違反著作權法,5,5,numeric
9603,202509,臺南市,違反專利法,0,-,dash_zero
9603,202509,臺南市,違反商標法,2,2,numeric
9603,202509,臺南市,公共危險,491,491,numeric
9603,202509,臺南市,侵害墳墓屍體,0,-,dash_zero
9603,202509,臺南市,妨害名譽,137,137,numeric
9603,202509,臺南市,違反就業服務法,0,-,dash_zero
9603,202509,臺南市,違反選罷法,1,1,numeric
9603,202509,臺南市,妨害秘密,11,11,numeric
9603,202509,臺南市,遺棄,2,2,numeric
9603,202509,臺南市,違反貪污治罪條例,0,-,dash_zero
9603,202509,臺南市,瀆職,0,-,dash_zero
9603,202509,臺南市,懲治走私條例,0,-,dash_zero
9603,202509,臺南市,妨害兵役,0,-,dash_zero
9603,202509,臺南市,偽造貨幣,0,-,dash_zero
9603,202509,臺南市,偽造度量衡,0,-,dash_zero
9603,202509,臺南市,偽證,0,-,dash_zero
9603,202509,臺南市,誣告,12,12,numeric
9603,202509,臺南市,湮滅證據,2,2,numeric
9603,202509,臺南市,藏匿頂替,3,3,numeric
9603,202509,臺南市,脫逃,0,-,dash_zero
9603,202509,臺南市,違反槍砲彈藥刀械管制條例,7,7,numeric
9603,202509,臺南市,其他,136,136,numeric
9603,202509,高雄市,總計,5835,5835,numeric
9603,202509,高雄市,竊盜,761,761,numeric
9603,202509,高雄市,贓物,0,-,dash_zero
9603,202509,高雄市,賭博,14,14,numeric
9603,202509,高雄市,傷害,249,249,numeric
9603,202509,高雄市,詐欺背信,1827,1827,numeric
