dataset_id,source_month,geography,metric,value,source_value,value_status
9603,202602,機關別總計,總計,36573,36573,numeric
9603,202602,機關別總計,竊盜,4962,4962,numeric
9603,202602,機關別總計,贓物,4,4,numeric
9603,202602,機關別總計,賭博,514,514,numeric
9603,202602,機關別總計,傷害,1959,1959,numeric
9603,202602,機關別總計,詐欺背信,8855,8855,numeric
9603,202602,機關別總計,妨害自由,2233,2233,numeric
9603,202602,機關別總計,殺人,17,17,numeric
9603,202602,機關別總計,駕駛過失,2344,2344,numeric
9603,202602,機關別總計,妨害家庭及婚姻,35,35,numeric
9603,202602,機關別總計,妨害風化,86,86,numeric
9603,202602,機關別總計,妨害性自主罪,294,294,numeric
9603,202602,機關別總計,恐嚇取財,55,55,numeric
9603,202602,機關別總計,擄人勒贖,0,-,dash_zero
9603,202602,機關別總計,侵占,1808,1808,numeric
9603,202602,機關別總計,偽造文書印文,500,500,numeric
9603,202602,機關別總計,違反毒品危害防制條例,3130,3130,numeric
9603,202602,機關別總計,毀棄損壞,1209,1209,numeric
9603,202602,機關別總計,妨害公務,89,89,numeric
9603,202602,機關別總計,妨害電腦使用,850,850,numeric
9603,202602,機關別總計,強盜搶奪,27,27,numeric
9603,202602,機關別總計,內亂,0,-,dash_zero
9603,202602,機關別總計,重利,47,47,numeric
9603,202602,機關別總計,竊佔,85,85,numeric
9603,202602,機關別總計,偽造有價證券,4,4,numeric
9603,202602,機關別總計,妨害秩序,83,83,numeric
9603,202602,機關別總計,違反藥事法,7,7,numeric
9603,202602,機關別總計,違反國家總動員法,0,-,dash_zero
9603,202602,機關別總計,違反森林法,13,13,numeric
9603,202602,機關別總計,違反著作權法,50,50,numeric
9603,202602,機關別總計,違反專利法,0,-,dash_zero
9603,202602,機關別總計,違反商標法,23,23,numeric
9603,202602,機關別總計,公共危險,3764,3764,numeric
9603,202602,機關別總計,侵害墳墓屍體,2,2,numeric
9603,202602,機關別總計,妨害名譽,1845,1845,numeric
9603,202602,機關別總計,違反就業服務法,1,1,numeric
9603,202602,機關別總計,違反選罷法,2,2,numeric
9603,202602,機關別總計,妨害秘密,121,121,numeric
9603,202602,機關別總計,遺棄,20,20,numeric
